what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1272081311368
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1272081311370
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1272081311370
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1272081311372
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1272081311374
started,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC4_v20100219-1253,"ch.ethz.iks.r_osgi.remote",1272081311375
started,bundle,ch.ethz.iks.slp,1.1.0.v20100219-1253,"ch.ethz.iks.slp",1272081311379
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1272081311379
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1272081311379
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1272081311380
started,bundle,org.eclipse.ecf.discovery,3.0.0.v20100219-1253,"org.eclipse.ecf.discovery",1272081311380
started,bundle,org.eclipse.ecf.docshare,2.1.0.v20100219-1253,"org.eclipse.ecf.docshare",1272081311381
started,bundle,org.eclipse.ecf.presence.collab.ui,1.3.0.v20100219-1253,"org.eclipse.ecf.presence.collab.ui",1272081311381
started,bundle,org.eclipse.ecf.provider,3.0.0.v20100219-1253,"org.eclipse.ecf.provider",1272081311382
started,bundle,org.eclipse.ecf.provider.bittorrent,0.3.100.v20100219-1253,"org.eclipse.ecf.provider.bittorrent",1272081311382
started,bundle,org.eclipse.ecf.provider.discovery,2.1.100.v20100219-1253,"org.eclipse.ecf.provider.discovery",1272081311383
started,bundle,org.eclipse.ecf.provider.filetransfer.efs,1.5.0.v20100219-1253,"org.eclipse.ecf.provider.filetransfer.efs",1272081311383
started,bundle,org.eclipse.ecf.provider.filetransfer.scp,2.0.0.v20100219-1253,"org.eclipse.ecf.provider.filetransfer.scp",1272081311383
started,bundle,org.eclipse.ecf.provider.irc,1.3.0.v20100219-1253,"org.eclipse.ecf.provider.irc",1272081311384
started,bundle,org.eclipse.ecf.provider.jmdns,4.0.0.v20100219-1253,"org.eclipse.ecf.provider.jmdns",1272081311384
started,bundle,org.eclipse.ecf.provider.jslp,3.0.0.v20100219-1253,"org.eclipse.ecf.provider.jslp",1272081311384
started,bundle,org.eclipse.ecf.provider.msn,1.2.0.v20100219-1253,"org.eclipse.ecf.provider.msn",1272081311385
started,bundle,org.eclipse.ecf.provider.r_osgi,3.0.0.v20100219-1253,"org.eclipse.ecf.provider.r_osgi",1272081311385
started,bundle,org.eclipse.ecf.provider.xmpp,3.1.0.v20100219-1253,"org.eclipse.ecf.provider.xmpp",1272081311386
started,bundle,org.eclipse.ecf.remoteservice.rest,2.0.0.v20100219-1253,"org.eclipse.ecf.remoteservice.rest",1272081311386
started,bundle,org.eclipse.ecf.sharedobject,2.1.0.v20100219-1253,"org.eclipse.ecf.sharedobject",1272081311386
started,bundle,org.eclipse.ecf.storage,2.0.0.v20100219-1253,"org.eclipse.ecf.storage",1272081311387
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1272081311387
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1272081311387
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1272081311388
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1272081311388
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1272081311388
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1272081311389
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1272081311390
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1272081311390
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1272081311391
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1272081311392
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1272081311396
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1272081311408
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1272081311408
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1272081311409
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1272081311409
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1272081311433
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1272081311444
started,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1272081311455
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1272081311465
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1272081311467
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1272081311470
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1272081311472
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1272081311475
started,bundle,org.eclipse.team.ecf.core,1.0.0.v20100219-1253,"org.eclipse.team.ecf.core",1272081311476
started,bundle,org.eclipse.team.ecf.ui,1.0.0.v20100219-1253,"org.eclipse.team.ecf.ui",1272081311478
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1272081311481
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1272081311484
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1272081311498
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1272081311512
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1272081311515
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1272081311518
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1272081311530
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1272081311530
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1272081311544
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1272081311544
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1272081311555
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1272081311564
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1272081311566
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1272081311579
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1272081311581
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1272081311581
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1272081311594
started,bundle,org.polarion.eclipse.team.svn.connector.javahl,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl",1272081311594
started,bundle,org.polarion.eclipse.team.svn.connector.javahl15,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl15",1272081311594
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1272081311594
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit",1272081311594
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit15",1272081311594
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1272081311594
os,sysinfo,,,"linux",1272081311601
arch,sysinfo,,,"x86",1272081311601
ws,sysinfo,,,"gtk",1272081311601
locale,sysinfo,,,"en_US",1272081311601
processors,sysinfo,,,"2",1272081311602
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272081311602
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1272081311602
java.specification.name,sysinfo,,,"Java Platform API Specification",1272081311602
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272081311602
java.specification.version,sysinfo,,,"1.6",1272081311602
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272081311602
java.version,sysinfo,,,"1.6.0_15",1272081311602
java.vm.info,sysinfo,,,"mixed mode, sharing",1272081311602
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272081311602
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272081311602
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272081311602
java.vm.specification.version,sysinfo,,,"1.0",1272081311602
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272081311602
java.vm.version,sysinfo,,,"14.1-b02",1272081311602
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272081315160
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272081315164
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1272081315180
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1272081318996
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272081318999
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1272081319262
opened,view,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1272081319466
closed,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1272081319484
activated,view,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1272081320807
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272081320828
closed,view,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1272081320851
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.AllMarkersView",1272081323293
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1272081325672
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1272081325800
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1272081325878
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1272081325915
started,bundle,org.eclipse.datatools.connectivity,1.1.3.v201001230803,"org.eclipse.datatools.connectivity",1272081325953
started,bundle,org.eclipse.datatools.connectivity.ui,1.1.5.v201001190218,"org.eclipse.datatools.connectivity.ui",1272081325965
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.3.v201001270323,"org.eclipse.datatools.connectivity.ui.dse",1272081325968
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres.ui",1272081326043
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.1.1.v201001180200,"org.eclipse.datatools.connectivity.sqm.core",1272081326349
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.1.100.v200910270525,"org.eclipse.datatools.connectivity.sqm.core.ui",1272081326360
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.3.v201001270323,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1272081326427
started,bundle,org.eclipse.wst.common.snippets,1.1.301.v201001280015,"org.eclipse.wst.common.snippets",1272081326456
